$while(a<aanda>aornot(a=c))do{a:=a+a;a:=a-c;a:=a+c;}#

1:  | while(a<aanda>aornot(a=c))do{a:=a+a;a:=a-c;a:=a+c;}# | $ | Сдвиг |  | 
57:  | a+c;}# | $whileBdo{E;a:= | Сдвиг | 19 19 11 19 19 13 7 19 20 12 10 9 8 10 19 19 15 6 19 20 14 6 2  | 
58:  | +c;}# | $whileBdo{E;a:=a | Свертка "a" по правилу 19 | 19 19 11 19 19 13 7 19 20 12 10 9 8 10 19 19 15 6 19 20 14 6 2 19  | 
59:  | +c;}# | $whileBdo{E;a:=E | Сдвиг | 19 19 11 19 19 13 7 19 20 12 10 9 8 10 19 19 15 6 19 20 14 6 2 19  | 
60:  | c;}# | $whileBdo{E;a:=E+ | Сдвиг | 19 19 11 19 19 13 7 19 20 12 10 9 8 10 19 19 15 6 19 20 14 6 2 19  | 
61:  | ;}# | $whileBdo{E;a:=E+c | Свертка "c" по правилу 20 | 19 19 11 19 19 13 7 19 20 12 10 9 8 10 19 19 15 6 19 20 14 6 2 19 20  | 
62:  | ;}# | $whileBdo{E;a:=E+E | Свертка "E+E" по правилу 15 | 19 19 11 19 19 13 7 19 20 12 10 9 8 10 19 19 15 6 19 20 14 6 2 19 20 15  | 
63:  | ;}# | $whileBdo{E;a:=E | Свертка "a:=E" по правилу 6 | 19 19 11 19 19 13 7 19 20 12 10 9 8 10 19 19 15 6 19 20 14 6 2 19 20 15 6  | 
64:  | ;}# | $whileBdo{E;E | Свертка "E;E" по правилу 2 | 19 19 11 19 19 13 7 19 20 12 10 9 8 10 19 19 15 6 19 20 14 6 2 19 20 15 6 2  | 
65:  | ;}# | $whileBdo{E | Сдвиг | 19 19 11 19 19 13 7 19 20 12 10 9 8 10 19 19 15 6 19 20 14 6 2 19 20 15 6 2  | 
66:  | }# | $whileBdo{E; | Свертка "E;" по правилу 3 | 19 19 11 19 19 13 7 19 20 12 10 9 8 10 19 19 15 6 19 20 14 6 2 19 20 15 6 2 3  | 
67:  | }# | $whileBdo{E | Сдвиг | 19 19 11 19 19 13 7 19 20 12 10 9 8 10 19 19 15 6 19 20 14 6 2 19 20 15 6 2 3  | 
68:  | # | $whileBdo{E} | Свертка "{E}" по правилу 5 | 19 19 11 19 19 13 7 19 20 12 10 9 8 10 19 19 15 6 19 20 14 6 2 19 20 15 6 2 3 5  | 
69:  | # | $whileBdoE | Свертка "whileBdoE" по правилу 4 | 19 19 11 19 19 13 7 19 20 12 10 9 8 10 19 19 15 6 19 20 14 6 2 19 20 15 6 2 3 5 4  | 
70:  | # | $E | Разбор закончен 

 Цепочка правил: 19 19 11 19 19 13 7 19 20 12 10 9 8 10 19 19 15 6 19 20 14 6 2 19 20 15 6 2 3 5 4 
